,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
74,Eastern Michigan,1975,2024,50,569,188,373,7,.337,7,2,5,0,.286,-13.94,-7.28,0,1,
75,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,1911,2024,112,1221,741,441,37,.623,49,25,24,0,.510,8.92,4.32,34,9,
77,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,2004,2024,21,252,108,146,0,.425,5,4,1,0,.800,-7.86,-5.05,0,3,
79,Florida International,2004,2024,21,247,85,162,0,.344,5,2,3,0,.400,-12.53,-6.60,0,1,
80,Florida State,1954,2024,71,846,558,270,16,.671,49,29,18,2,.612,10.64,3.91,35,16,record adjusted to 547-269-16 by NCAA
81,Fordham,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
83,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.27,-3.24,0,0,
86,Fresno State,1969,2024,56,683,392,280,4,.583,27,14,13,0,.519,-1.73,-5.33,4,13,record adjusted to 395-277-4 by NCAA
87,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.82,-2.36,1,0,
90,Georgia,1902,2024,121,1326,866,409,50,.672,63,38,22,3,.627,10.68,4.86,43,15,
91,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,2014,2024,11,139,73,66,0,.525,7,3,4,0,.429,-3.04,-4.15,0,1,
93,Georgia State,2013,2024,12,146,54,92,0,.370,6,4,2,0,.667,-8.98,-3.95,0,0,
94,Georgia Tech,1902,2024,123,1326,757,525,40,.588,47,26,21,0,.553,8.26,4.54,24,8,record adjusted to 756-525-40 by NCAA
95,Gonzaga,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.86,-4.63,0,0,
99,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.22,-2.09,0,5,
103,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.71,-2.12,0,0,
104,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
105,Hawaii,1971,2024,52,638,316,316,6,.500,14,8,6,0,.571,-3.98,-3.37,2,4,
106,Holy Cross,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.94,-4.32,5,0,
107,Houston,1949,2024,76,862,464,382,15,.548,30,13,16,1,.450,3.01,1.17,15,11,record adjusted to 464-382-14 by NCAA
108,Idaho,1917,2017,75,739,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,1892,2024,133,1312,632,627,49,.502,21,9,12,0,.429,5.94,5.20,14,15,
111,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,1899,2024,126,1230,493,692,38,.419,14,3,11,0,.214,2.09,4.56,7,2,record adjusted to 494-691-38 by NCAA
113,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
114,Iowa,1899,2024,126,1266,671,553,34,.547,37,18,18,1,.500,6.86,5.12,27,11,record adjusted to 672-552-34 by NCAA
115,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,1895,2024,127,1277,556,674,45,.454,19,6,13,0,.316,0.40,1.48,4,2,record adjusted to 557-673-45 by NCAA
117,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,Jacksonville State,2023,2024,2,27,18,9,0,.667,2,1,1,,.500,-0.78,-7.09,0,1,
120,James Madison,2022,2024,3,37,28,9,0,.757,2,1,1,,.500,5.40,-4.73,0,0,
121,Kansas,1901,2024,124,1270,552,663,54,.456,14,7,7,0,.500,0.96,2.51,8,5,
122,Kansas State,1912,2024,113,1182,519,628,35,.454,26,12,14,0,.462,0.04,2.01,15,4,record adjusted to 520-628-34 by NCAA
123,Kennesaw State,2024,2024,1,12,2,10,0,.167,,,,,,-20.36,-8.44,0,0,
124,Kent State,1962,2024,63,702,226,469,5,.326,4,1,3,0,.250,-12.57,-6.53,0,1,
125,Kentucky,1915,2024,109,1154,532,586,36,.477,23,12,11,0,.522,3.87,3.99,10,2,record adjusted to 533-585-36 by NCAA
126,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
127,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.07,-2.53,0,0,
128,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
129,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
130,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
131,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-2.98,-2.44,0,0,
132,Liberty,2018,2024,7,88,61,27,0,.693,6,3,3,0,.500,-1.22,-7.45,2,1,
133,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
134,Long Beach State,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
135,Louisiana,1973,2024,52,606,282,319,5,.469,12,7,5,0,.583,-8.05,-5.87,2,6,record adjusted to 260-319-5 by NCAA
136,Louisiana Tech,1975,2024,44,519,258,254,7,.504,14,8,5,1,.607,-4.59,-4.82,0,4,record adjusted to 259-253-7 by NCAA
137,Louisiana-Monroe,1975,2024,38,440,154,284,2,.352,1,0,1,0,.000,-11.46,-5.12,0,1,
138,Louisville,1962,2024,63,732,394,330,7,.544,26,12,13,1,.481,-0.25,-1.62,12,8,record adjusted to 396-328-7 by NCAA
139,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
140,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
141,LSU,1902,2024,120,1296,822,425,47,.653,56,31,24,1,.563,10.02,4.54,44,12,record adjusted to 787-421-47 by NCAA
142,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
143,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-0.56,-0.88,0,0,
144,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
145,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
146,Mare Island Marines,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
147,Marquette,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
148,Marshall,1962,2024,48,563,271,287,3,.486,19,13,6,0,.684,-7.55,-5.90,3,7,
149,Maryland,1917,2024,108,1162,589,542,30,.520,30,14,14,2,.500,2.46,1.86,18,11,
150,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
151,Massachusetts,1882,2024,27,264,73,185,6,.288,0,0,0,0,,-11.48,-3.74,0,0,
152,McNeese State,1975,1981,7,82,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
153,Memphis,1960,2024,65,737,368,360,8,.505,16,8,8,0,.500,-0.76,-1.69,4,5,record adjusted to 369-359-8 by NCAA
154,Mercer,1909,1936,15,138,55,74,9,.431,0,0,0,0,,-3.92,-2.03,0,0,
155,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
156,Miami (FL),1936,2024,88,994,624,356,12,.635,43,19,24,0,.442,8.74,3.54,34,9,
157,Miami (OH),1962,2024,63,717,393,306,15,.561,14,7,7,0,.500,-3.58,-5.88,4,11,record adjusted to 394-305-15 by NCAA
158,Michigan,1881,2024,135,1393,986,350,35,.732,53,24,29,0,.453,13.82,5.09,64,45,
159,Michigan State,1918,2024,100,1067,612,412,30,.595,30,14,16,0,.467,8.87,4.88,28,9,record adjusted to 607-417-30 by NCAA
160,Middle Tennessee State,1999,2024,26,315,150,165,0,.476,10,4,6,0,.400,-7.18,-5.85,0,2,
161,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
162,Minnesota,1892,2024,133,1308,725,539,42,.571,25,13,12,0,.520,8.20,4.85,15,18,
163,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
164,Mississippi State,1902,2024,120,1232,605,589,37,.506,26,15,11,0,.577,3.41,3.09,15,1,record adjusted to 588-607-36 by NCAA
165,Mississippi Valley State,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
166,Missouri,1901,2024,123,1284,673,561,50,.544,37,17,20,0,.459,4.88,3.22,20,12,record adjusted to 675-559-50 by NCAA
167,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
168,Montana,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
169,Montana State,1923,1947,17,140,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
170,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-6.15,4.40,0,0,
171,Navy,1891,2024,131,1353,715,584,52,.548,25,13,11,1,.540,3.86,1.35,14,0,
172,Nebraska,1900,2024,125,1344,889,405,38,.682,54,27,27,0,.500,10.49,3.75,48,43,record adjusted to 890-405-37 by NCAA
173,Nevada,1946,2024,38,452,235,217,0,.520,19,7,12,0,.368,-4.34,-5.46,1,7,
174,Nevada-Las Vegas,1978,2024,47,549,210,335,3,.386,6,4,2,0,.667,-8.96,-3.91,1,1,record adjusted to 192-353-3 by NCAA
175,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-10.04,-4.12,0,0,
176,New Mexico,1931,2024,93,1015,416,583,17,.418,12,4,7,1,.375,-7.02,-4.04,0,4,
177,New Mexico State,1931,2024,91,973,339,620,14,.356,6,4,1,1,.750,-13.21,-7.74,1,4,record adjusted to 340-619-14 by NCAA
178,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
179,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
180,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
181,North Carolina,1902,2024,121,1291,691,548,48,.556,39,15,24,0,.385,4.72,2.79,17,7,record adjusted to 675-548-48 by NCAA
182,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
183,North Carolina State,1902,2024,119,1253,620,586,46,.514,36,17,18,1,.486,1.72,1.34,15,7,
184,North Texas,1953,2024,60,672,290,372,11,.439,13,2,11,0,.154,-7.84,-5.17,0,9,record adjusted to 293-369-11 by NCAA
185,Northern Arizona,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
186,Northern Colorado,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
187,Northern Illinois,1968,2024,57,663,321,338,4,.487,16,6,10,0,.375,-7.85,-6.73,1,6,
188,Northwestern,1892,2024,131,1307,561,703,40,.446,17,7,10,0,.412,2.80,5.41,13,8,record adjusted to 562-702-40 by NCAA
189,Northwestern State,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
190,Notre Dame,1899,2024,118,1264,906,325,33,.730,46,24,22,0,.522,14.81,6.04,60,0,record adjusted to 885-325-33 by NCAA
191,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
192,Ohio,1962,2024,63,716,324,383,9,.459,16,8,8,0,.500,-8.17,-6.64,1,4,
193,Ohio State,1904,2024,113,1204,870,268,36,.756,60,31,29,0,.517,15.37,5.99,64,40,record adjusted to 858-267-36 by NCAA
194,Oklahoma,1903,2024,116,1283,897,328,47,.724,58,31,26,1,.543,12.33,3.61,62,49,
195,Oklahoma State,1914,2024,111,1198,607,544,41,.526,34,22,12,0,.647,2.67,1.98,17,10,
196,Old Dominion,2014,2024,11,123,51,72,0,.415,3,1,2,0,.333,-8.22,-4.18,0,0,
197,Ole Miss,1902,2024,119,1259,689,531,34,.563,42,27,15,0,.643,5.08,2.85,28,6,record adjusted to 660-527-34 by NCAA
